               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1125,            0.029683,            0.056446,           0.0011685,             0.13889,          0.00092253,          0.00019314,            0.045595,            0.020492,            0.026932,              0.0017,              0.0017,              0.0847
                   1,            0.081253,            0.028742,            0.049932,             0.61743,                0.25,             0.15182,            0.038433,            0.030443,            0.016715,            0.024541,           0.0034615,           0.0034615,            0.068462
                   2,            0.070097,            0.026476,            0.042354,             0.38544,             0.38889,             0.14658,            0.029946,            0.037488,            0.014907,            0.022604,           0.0051834,           0.0051834,            0.052183
                   3,            0.069649,            0.024025,            0.038278,             0.34565,             0.44444,             0.25945,            0.084394,            0.034304,            0.011824,            0.016774,           0.0068657,           0.0068657,            0.035866
                   4,            0.063037,            0.020961,            0.030748,             0.38927,              0.4124,             0.33859,             0.11378,            0.029853,            0.010257,            0.013226,           0.0085084,           0.0085084,            0.019508
                   5,            0.066978,            0.020139,            0.027997,             0.36234,             0.49702,             0.35321,              0.1049,            0.034553,           0.0089501,            0.010263,             0.00945,             0.00945,             0.00945
                   6,            0.063754,            0.018927,            0.023636,               0.525,             0.52666,              0.4603,             0.13236,            0.033528,           0.0097828,           0.0099773,             0.00945,             0.00945,             0.00945
                   7,            0.061152,            0.016808,            0.021854,             0.35084,              0.6263,             0.50358,              0.2102,            0.027579,            0.009826,           0.0094428,             0.00934,             0.00934,             0.00934
                   8,            0.061428,              0.0176,            0.015622,             0.60357,             0.62934,             0.67384,             0.25984,            0.027017,             0.01164,           0.0060757,             0.00923,             0.00923,             0.00923
                   9,             0.06031,            0.015804,            0.014714,             0.39487,             0.65864,             0.55731,              0.2343,            0.029672,            0.013664,           0.0064902,             0.00912,             0.00912,             0.00912
                  10,            0.058451,            0.014894,             0.01216,             0.31966,             0.63889,             0.51547,             0.23001,            0.030961,            0.011341,           0.0052426,             0.00901,             0.00901,             0.00901
                  11,              0.0578,            0.014202,            0.012717,             0.49858,             0.82105,             0.69577,             0.33714,            0.024938,            0.010163,           0.0026283,              0.0089,              0.0089,              0.0089
                  12,            0.057314,            0.014687,           0.0096944,             0.71974,             0.72758,             0.80328,             0.32346,            0.020352,           0.0070666,           0.0029228,             0.00879,             0.00879,             0.00879
                  13,            0.051052,            0.015235,            0.011645,             0.66088,             0.81618,             0.77386,              0.3599,            0.023591,           0.0074193,           0.0026098,             0.00868,             0.00868,             0.00868
                  14,            0.054386,            0.013917,            0.011776,             0.80114,             0.94018,             0.93325,             0.55313,            0.017971,           0.0060778,           0.0029457,             0.00857,             0.00857,             0.00857
                  15,            0.053302,            0.014617,            0.008624,             0.79043,             0.77788,             0.80137,             0.37601,            0.020979,           0.0061401,           0.0034522,             0.00846,             0.00846,             0.00846
                  16,            0.052421,            0.014626,           0.0092815,             0.93568,             0.84528,             0.88004,             0.47047,            0.018638,           0.0062142,           0.0025577,             0.00835,             0.00835,             0.00835
                  17,            0.053518,            0.013035,           0.0086693,             0.92052,             0.83407,             0.89695,             0.53592,            0.015575,           0.0061931,           0.0035085,             0.00824,             0.00824,             0.00824
                  18,            0.052929,            0.013594,           0.0066456,             0.88906,             0.83123,             0.86666,             0.54577,             0.01521,           0.0056888,           0.0025067,             0.00813,             0.00813,             0.00813
                  19,            0.053402,               0.013,            0.006957,              0.8274,             0.87595,             0.88548,             0.52976,            0.015924,           0.0062054,           0.0021064,             0.00802,             0.00802,             0.00802
                  20,             0.04898,            0.013441,           0.0083721,             0.91734,             0.89139,             0.94636,             0.54316,            0.015014,           0.0059396,           0.0016292,             0.00791,             0.00791,             0.00791
                  21,            0.044833,            0.012259,           0.0062471,             0.89926,             0.82383,             0.91511,             0.49921,            0.016042,           0.0065283,            0.002178,              0.0078,              0.0078,              0.0078
                  22,            0.047314,            0.012645,           0.0079622,             0.84554,               0.709,             0.77432,             0.43465,            0.016282,            0.007511,           0.0018757,             0.00769,             0.00769,             0.00769
                  23,            0.050698,            0.012713,           0.0057426,             0.82386,             0.87193,             0.90741,             0.48661,             0.01668,           0.0075503,           0.0017469,             0.00758,             0.00758,             0.00758
                  24,            0.047455,            0.012166,           0.0085441,             0.96617,             0.87683,             0.98738,             0.58967,            0.013437,           0.0066064,           0.0022409,             0.00747,             0.00747,             0.00747
                  25,             0.04683,            0.013316,           0.0091346,             0.89725,             0.89024,             0.96068,             0.59001,            0.014583,           0.0070094,           0.0021764,             0.00736,             0.00736,             0.00736
                  26,            0.048132,            0.012712,           0.0072362,             0.83233,             0.94444,             0.97222,             0.59147,            0.013352,           0.0070002,           0.0024944,             0.00725,             0.00725,             0.00725
                  27,            0.045199,               0.012,            0.006517,             0.93402,             0.90132,              0.9539,             0.61432,            0.014336,           0.0061443,           0.0020896,             0.00714,             0.00714,             0.00714
                  28,            0.043595,             0.01207,           0.0054827,             0.89596,             0.91042,             0.95263,             0.67748,            0.012566,           0.0068129,           0.0025385,             0.00703,             0.00703,             0.00703
                  29,            0.041635,            0.011715,           0.0050748,             0.90313,             0.91667,             0.96159,             0.69728,            0.012799,           0.0053344,           0.0014563,             0.00692,             0.00692,             0.00692
                  30,            0.042719,            0.012562,           0.0050284,             0.88775,             0.91154,             0.97952,             0.68373,            0.012249,           0.0053838,           0.0011301,             0.00681,             0.00681,             0.00681
                  31,            0.041664,            0.012476,           0.0054931,             0.92362,             0.94324,             0.98357,             0.65628,            0.013666,           0.0064983,           0.0012136,              0.0067,              0.0067,              0.0067
                  32,            0.043583,            0.011851,           0.0054418,             0.88217,             0.98879,             0.99119,              0.6757,            0.012149,           0.0065873,           0.0011579,             0.00659,             0.00659,             0.00659
                  33,            0.040103,            0.011677,           0.0039919,             0.95505,             0.87205,             0.97121,             0.65374,            0.011338,           0.0057306,           0.0011098,             0.00648,             0.00648,             0.00648
                  34,            0.040203,             0.01138,           0.0045112,             0.96694,             0.93486,             0.97944,             0.66909,            0.011619,           0.0055221,           0.0010035,             0.00637,             0.00637,             0.00637
                  35,            0.037845,            0.011752,            0.005031,             0.94801,             0.94212,             0.99119,             0.67524,            0.011641,           0.0057311,           0.0010319,             0.00626,             0.00626,             0.00626
